year,parent_entity,parent_type,commodity,production_value,production_unit,total_emissions_MtCO2e,log_total_emissions_MtCO2e,country
1962,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,0.9125,Million bbl/yr,0.3638848308984855,0.3103371210312925,UAE
1962,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1.84325,Bcf/yr,0.1343552120344684,0.12606439438237457,UAE
1963,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1.825,Million bbl/yr,0.727769661796971,0.5468313639257557,UAE
1963,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,4.4238,Bcf/yr,0.3224525088827243,0.2794879739979532,UAE
1964,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,7.300000000000002,Million bbl/yr,2.911078647187884,1.3638132047984672,UAE
1964,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,17.326549999999997,Bcf/yr,1.2629389931240036,0.8166644078805937,UAE
1965,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,10.95,Million bbl/yr,4.366617970781825,1.680197909513779,UAE
1965,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,25.0682,Bcf/yr,1.827230883668772,1.0392977462887598,UAE
1966,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,13.505,Million bbl/yr,5.385495497297585,1.854029089809085,UAE
1966,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,29.86065,Bcf/yr,2.1765544349583896,1.1557970983502892,UAE
1967,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,14.6,Million bbl/yr,5.822157294375768,1.9201757406605455,UAE
1967,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,29.86065,Bcf/yr,2.1765544349583896,1.1557970983502892,UAE
1968,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,18.25,Million bbl/yr,7.277696617969709,2.1135647434606577,UAE
1968,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,39.0769,Bcf/yr,2.848330495130732,1.3476394166233259,UAE
1969,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,22.265,Million bbl/yr,8.878789873923047,2.2903900218617426,UAE
1969,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,47.1872,Bcf/yr,3.4394934280823937,1.490540277160822,UAE
1970,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,25.7325,Million bbl/yr,10.261552231337292,2.421394466792965,UAE
1970,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,53.8229,Bcf/yr,3.923172191406481,1.593953077090341,UAE
1971,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,34.309999999999995,Million bbl/yr,13.682069641783054,2.686626997021779,UAE
1971,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,72.9927,Bcf/yr,5.320466396564951,1.843793002360741,UAE
1972,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,37.96,Million bbl/yr,15.137608965376996,2.781152508458376,UAE
1972,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,79.6284,Bcf/yr,5.804145159889039,1.9175320087988423,UAE
1973,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,117.7125,Million bbl/yr,46.94114318590463,3.869974074902662,UAE
1973,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,97.3236,Bcf/yr,7.0939551954199365,2.091117510908323,UAE
1974,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,302.1105,Million bbl/yr,120.47498981387058,4.799708396438253,UAE
1974,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,97.3236,Bcf/yr,7.0939551954199365,2.091117510908323,UAE
